CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,25,-,-,-,"4,323.05",-1.50,75,"4,496.05","4,578.60",750,"20,350.00","1,34,700",0.75,0.80,"4,28,325",-0.20,0.80,53.94,"3,49,364","22,745","39,582",
,22,-,-,-,"4,337.50",-,150,"4,412.20","4,528.95",750,"20,400.00","2,84,550",0.75,0.80,"1,31,100",-0.25,0.80,53.33,"70,749","7,504","14,043",
,21,-,-,-,"4,236.50",6.45,150,"4,361.80","4,479.15",750,"20,450.00","5,550",0.80,0.85,"1,800",-0.30,0.80,52.73,"19,071",992,"2,140",
,"1,591",-209,231,-,"4,375.00",219.15,150,"4,372.80","4,390.65",75,"20,500.00","1,950",0.85,0.90,"99,075",-0.20,0.85,52.42,"1,11,546","7,180","44,127",
,18,-,-,-,"4,282.75",-,75,"3,600.00","5,091.70",150,"20,550.00","5,025",0.85,0.95,150,-0.30,0.85,51.81,"8,790",400,804,
,28,-1,2,-,"4,241.40",182.30,225,"4,239.40","4,329.50",150,"20,600.00","2,400",0.85,0.90,"51,150",-0.30,0.90,51.48,"29,954","3,386","5,185",
,29,-,-,-,"4,019.55",3.15,150,"4,164.90","4,282.15",750,"20,650.00","3,375",0.85,0.95,"30,825",-0.30,0.95,51.14,"9,968",708,"1,016",
,26,-,2,77.86,"4,215.70",238.65,150,"4,113.75","4,228.80",150,"20,700.00","2,850",0.90,0.95,"16,875",-0.30,0.90,50.28,"21,320","1,490","2,493",
,16,-,-,-,"4,083.80",-,150,"4,068.35","4,184.10",750,"20,750.00","5,400",0.90,1.00,"2,100",-0.35,0.95,49.92,"3,338",104,296,
,45,-1,2,-,"4,054.60",193.80,150,"4,020.10","4,129.00",150,"20,800.00","52,650",0.90,0.95,"10,425",-0.35,0.90,49.07,"35,442","5,069","6,203",
,27,-,-,-,"3,835.25",10.75,150,"3,964.90","4,077.10",750,"20,850.00","6,075",0.90,1.30,750,-0.05,1.20,49.82,"5,549",225,390,
,28,-,-,-,"3,774.15",-2.60,150,"3,212.75","4,740.15",150,"20,900.00","10,800",0.90,1.15,"1,500",-0.25,1.15,49.00,"9,847",282,966,
,22,-,-,-,"3,710.00",-,150,"3,857.00","3,985.75",750,"20,950.00","6,300",0.95,1.10,225,-0.35,1.10,48.18,"4,218",4,253,
,"6,360",-84,150,-,"3,875.00",233.75,75,"3,861.85","3,893.80",75,"21,000.00","2,475",1.15,1.20,"3,750",-0.20,1.15,47.78,"78,168","3,376","45,889",
,27,-,-,-,"3,051.55",-0.50,150,"3,239.05","4,326.00",150,"21,050.00","4,050",1.00,1.50,75,-0.40,1.00,46.54,"6,097",238,472,
,56,-,-,-,"3,578.20",5.10,150,"3,715.35","3,829.65",750,"21,100.00","1,800",0.95,1.25,"1,350",-0.25,1.25,46.95,"9,179",167,"1,358",
,30,-,-,-,"2,965.70",8.90,150,"3,137.25","4,214.40",150,"21,150.00","8,625",1.10,1.75,825,-0.25,1.10,45.76,"6,212",69,220,
,59,-,-,-,"3,477.50",-,150,"3,615.30","3,731.40",750,"21,200.00",75,1.15,1.25,"6,825",-0.25,1.10,45.16,"13,824",-317,"1,672",
,29,-,-,-,"3,376.95",-,150,"3,024.80","4,100.50",150,"21,250.00","7,200",1.10,1.50,75,-0.15,1.35,45.47,"4,888",178,317,
,51,-2,4,-,"3,583.95",208.05,150,"3,560.30","4,124.40",75,"21,300.00","1,275",1.20,1.80,150,-0.30,1.25,44.51,"10,796","1,040","2,361",
,26,-,-,-,"3,327.30",-,150,"2,970.50","4,175.45",975,"21,350.00","6,225",1.00,1.80,"2,325",-0.20,1.35,44.24,"4,363",64,172,
,67,-,-,-,"3,277.10",-,150,"3,416.75","3,528.45",750,"21,400.00","6,600",1.20,1.45,675,-0.35,1.20,43.12,"11,483",-52,"1,397",
,27,-,-,-,"3,227.30",-,150,"3,364.65","3,477.40",150,"21,450.00",675,1.30,1.45,750,-0.15,1.45,43.34,"7,141",556,789,
,"1,637",-498,555,-,"3,382.20",233.90,75,"3,372.45","3,392.85",150,"21,500.00","1,350",1.40,1.45,"2,175",-0.25,1.40,42.57,"61,698","-5,893","26,197",
,28,-,-,-,"3,127.85",-,150,"3,267.05","3,382.95",750,"21,550.00",300,1.35,1.45,675,-0.45,1.30,41.64,"5,845",-93,233,
,85,-,1,-,"3,252.30",296.25,150,"3,245.80","3,328.10",375,"21,600.00","3,450",1.35,1.45,"1,725",-0.35,1.35,41.19,"10,248",347,"1,033",
,35,-,-,-,"3,000.00",-,150,"3,173.40","3,282.75",750,"21,650.00",150,1.30,1.50,675,-0.30,1.35,40.59,"4,729",76,284,
,86,-1,3,69.17,"3,242.70",167.70,75,"3,132.10","3,245.15",975,"21,700.00",75,1.50,1.75,"5,925",-0.40,1.50,40.42,"20,861",609,"2,549",
,33,-1,1,-,"3,023.50",153.50,150,"3,066.45","3,177.70",150,"21,750.00","1,125",1.30,1.60,675,-0.50,1.30,39.22,"9,234",294,486,
,95,-,-,-,"2,856.45",-,150,"3,017.90","3,131.15",150,"21,800.00","2,175",1.45,1.70,600,-0.45,1.45,39.06,"23,976",430,"5,544",
,44,-,-,-,"2,790.00",-,150,"2,968.40","3,095.45",150,"21,850.00","1,725",1.30,1.65,675,-0.30,1.60,38.85,"3,588",73,270,
,44,-,-,-,"2,757.25",0.75,75,"2,939.55","3,029.30",750,"21,900.00",75,1.55,1.65,"3,975",-0.40,1.65,38.36,"27,835",538,"5,529",
,35,-,-,-,"2,689.20",-,750,"2,868.40","2,978.65",750,"21,950.00",75,1.45,1.70,75,-0.65,1.45,37.23,"7,197",15,202,
,"8,077",-318,478,-,"2,876.00",229.15,450,"2,882.20","2,887.70",75,"22,000.00","2,175",1.50,1.55,"8,700",-0.60,1.50,36.76,"1,25,584","12,163","56,554",
,49,-,-,-,"2,600.30",-,150,"2,772.90","2,885.15",750,"22,050.00","1,800",1.40,1.70,675,-0.50,1.60,36.40,"7,847",113,334,
,175,-1,7,-,"2,785.05",294.95,75,"2,733.55","2,811.15",75,"22,100.00","1,800",1.40,1.70,675,-0.60,1.50,35.54,"19,643",519,"2,230",
,59,-,-,-,"2,488.10",-1.85,150,"2,274.35","3,168.05",150,"22,150.00","9,900",1.50,2.15,750,-0.70,1.50,34.93,"14,116",425,533,
,350,-5,14,57.66,"2,735.00",290.00,150,"2,626.30","2,723.95",225,"22,200.00",75,1.65,2.10,75,-0.60,1.65,34.68,"30,307",947,"4,544",
,43,-,-,-,"2,401.05",-,150,"2,129.60","3,048.85",150,"22,250.00","2,025",1.50,1.90,600,-0.70,1.60,33.96,"15,323",235,981,
